name,향수_note
Acqua di Giò Profumo  Giorgio Armani,"Sea Notes, Bergamot, Rosemary, Sage, Geranium, Incense, Patchouli"
The One for Men Eau de Parfum  Dolce&Gabbana,"Grapefruit, Coriander, Basil, Ginger, Cardamom, Orange Blossom, Amber, Tobacco, Cedar"
La Nuit Tresor  Lancome,"Pear, Tangerine, Bergamot, Strawberry, Vanilla orchid, Black Rose, Passionfruit, Praline, Caramel, Litchi, Patchouli, Vanilla, Incense, Coffee, Licorice, Coumarin, Papyrus"
Ultra Male  Jean Paul Gaultier,"Pear, Lavender, Mint, Bergamot, Lemon, Cinnamon, Caraway, Clary Sage, Black Vanilla Husk, Amber, Patchouli, Cedar"
Olympéa  Paco Rabanne,"Water Jasmine, Green Mandarin, Ginger flower, Salt, Vanilla, Cashmere Wood, Ambergris, Sandalwood"
Spicebomb Extreme  Viktor&Rolf,"Vanilla, Tobacco, Black Pepper, Caraway, Lavender"
Noir Extreme  Tom Ford,"Cardamom, Nutmeg, Saffron, Mandarin Orange, Neroli, Kulfi, Rose, Jasmine, Mastic or Lentisque, Orange Blossom, Vanilla, Amber, Woody Notes, Sandalwood"
Encre Noire A L'Extreme  Lalique,"Cypress, Elemi resin, Bergamot, Haitian Vetiver, Vetiver, Incense, Orris, Benzoin, Sandalwood, Patchouli"
Noir Pour Femme  Tom Ford,"Ginger, Bitter Orange, Mandarin Orange, Bergamot, Kulfi, Rose, Orange Blossom, Jasmine, Vanilla, Amber, Sandalwood, Mastic or Lentisque"
CH Men Prive  Carolina Herrera,"Whiskey, Grapefruit, Pomelo, Cardamom, Lavender, Sage, Red Thyme, Leather, Tonka Bean, Woody Notes, Benzoin"
Decadence  Marc Jacobs,"Plum, Saffron, iris, Orris, Bulgarian Rose, Jasmine Sambac, Amber, Vetiver, Papyrus"
L’Homme Ideal Cologne  Guerlain,"Grapefruit, Orange, Bergamot, Pink Pepper, Almond, Neroli, Vetiver, White Musk"
Oud Satin Mood  Maison Francis Kurkdjian,"Bulgarian Rose, Turkish Rose, Vanilla, Agarwood (Oud), Benzoin, Violet"
XJ 1861 Naxos  Xerjoff,"Lavender, Bergamot, Lemon, Honey, Cinnamon, Cashmeran, Jasmine Sambac, Tobacco Leaf, Tonka Bean, Vanilla"
Carlisle  Parfums de Marly,"Green Apple, Nutmeg, Tonka Bean, Rose, Patchouli, Vanilla"
Kirke  Tiziana Terenzi,"Passionfruit, Peach, Pear, Raspberry, Cassis, Sand, Lily-of-the-Valley, Musk, Vanilla, Sandalwood, Patchouli, Heliotrope"
Fève Délicieuse  Christian Dior,"Lavender, Mint, Bergamot, Sour Cherry, Jasmine, Freesia, Tonka Bean, Vanilla, Cacao Pod, Caramel, Praline, Benzoin, Milk, Sandalwood, Leather, Cedar"
Donna Valentino Valentino,"Bergamot, iris, Bulgarian Rose, Vanilla, Leather, Patchouli"
Icon  Alfred Dunhill,"Neroli, Bergamot, Black Pepper, Petitgrain, Black Pepper, Lavender, Cardamom, Juniper Berries, Sage, Vetiver, Oakmoss, Agarwood (Oud), iris, Leather"
No 5 Eau Premiere (2015) Chanel Chanel,"Aldehydes, Ylang-Ylang, Neroli, Jasmine, Rose, Vanilla, Sandalwood, Vetiver"
Dark Rebel   John Varvatos,"Rum, Sugar Cane, Cardamom, Clary Sage, Artemisia, Leather, Fir Resin, Pepper, Styrax, Tobacco Leaf, Woody Notes, Castoreum, Akigalawood, Mexican Vanilla, Juniper"
Le Jardin de Monsieur Li  Hermès,"Kumquat, Jasmine, Mint, Green Sap"
L’Extase  Nina Ricci,"Pink Pepper, Peach, Pear, Rose, Raspberry, White Flowers, Jasmine, Caramel, Siam Benzoin, Amber, Vanilla, Musk, Patchouli, Virginia Cedar"
African Leather  Memo Paris,"Cardamom, Leather, Saffron, Cumin, Vetiver, Patchouli, Geranium, Agarwood (Oud), Bergamot, Musk"
Fatale Intense   Agent Provocateur,"Licorice, Dewberry, Chili Pepper, Champaca, Red Rose, Lotus, Vanilla, Leather, Amber"
Ari  Ariana Grande,"Raspberry, Pear, Grapefruit, Vanilla orchid, Lily-of-the-Valley, Rose, Marshmallow, Musk, Woody Notes"
Plumeria de Orris  Areej Le Doré,"Frangipani, Apricot, Orris Root, Synthetic Civet, Sandalwood, Vanilla, Myrrh, Vetiver, Cedar"
HerStory Love Inspires  Avon,"Jasmine, Apricot, Mandarin Orange, iris, Gardenia, Brandy, Amber, Vetiver, Praline"
Love and Tears  By Kilian,"Petitgrain, Bergamot, Galbanum, Lavender, Jasmine, Water Jasmine, Lily-of-the-Valley, Narcissus, Orange Blossom, Ylang-Ylang, Oakmoss, Cedar, Styrax"
Antaeus  Chanel,"Myrhh, Clary Sage, Coriander, Bergamot, Lime, Amalfi Lemon, Rose, Thyme, Basil, Jasmine, Castoreum, Oakmoss, Patchouli, French labdanum"
Fantasy  Britney Spears,"Kiwi, Red Litchi, Quince, White Chocolate, Cupcake, Orchid, Jasmine, Musk, Woodsy Notes, Orris Root"
Olympéa Aqua Eau de Parfum Légère  Paco Rabanne,"Clementine, Lemon Blossom, Water Jasmine, Solar notes, Water Lily, Salt, Vanilla, Ambergris, Cashmere Wood"
Emperor Extrait  Parfums Vintage,"Pineapple, Juniper Berries, Apple, Bergamot, Jasmine, Rose, Birch, Musk, Ambergris, Patchouli, Vanilla"
Absolute Iris N°39  The Master Perfumer,"iris, Patchouli, Musk"
Magie Noire Parfum  Lancome,"Cassis, Cassia, Galbanum, Bulgarian Rose, Raspberry, Hyacinth, Bergamot, Honey, Narcissus, Orris Root, Cedar, Tuberose, Ylang-Ylang, Jasmine, Lily-of-the-Valley, Oakmoss, Myrrh, Incense, Civet, Spices, Patchouli, Ambergris, Sandalwood, Vetiver, Musk"
Rose Prana  Anima Vinci,"Violet Leaf, Verbena, Pink Pepper, May Rose, Hedione, Oakmoss, White Musk, Woody Notes, Vetiver, Patchouli"
Flying  Maison Martin Margiela,"Orange Blossom, Bergamot, Petitgrain, Neroli Essence, Almond Blossom, Ylang-Ylang, Ozonic notes, Musk, Moss"
Good Girl  Carolina Herrera,"Almond, Coffee, Bergamot, Lemon, Tuberose, Jasmine Sambac, Orris, Orange Blossom, Bulgarian Rose, Tonka Bean, Cacao, Vanilla, Praline, Sandalwood, Amber, Musk, Cashmere Wood, Patchouli, Cinnamon, Cedar"
L'Homme Prada Prada,"Neroli, Black Pepper, Cardamom, Carrot Seeds, iris, Violet, Geranium, Mate, Amber, Cedar, Patchouli, Sandalwood"
Layton  Parfums de Marly,"Apple, Lavender, Mandarin Orange, Bergamot, Geranium, Violet, Jasmine, Vanilla, Cardamom, Sandalwood, Pepper, Patchouli, Guaiac Wood"
Pour Homme Dylan Blue Versace Versace,"Calabrian bergamot, Grapefruit, Water Notes, Fig Leaf, Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus, Incense, Musk, Tonka Bean, Saffron"
Angel Muse  Mugler,"Pink Pepper, Grapefruit, Hazelnut cocoa spread, Patchouli, Vetiver"
Grand Soir  Maison Francis Kurkdjian,"Amber, Siam Benzoin, Vanilla, Tonka Bean, Spanish Labdanum"
Narciso Poudree  Narciso Rodriguez,"Jasmine, Bulgarian Rose, Orange Blossom, Musk, Coumarin, Cedar, Vetiver, Patchouli"
Ten Knize Knize,"Geranium, Rosemary, Bergamot, Orange, Petitgrain, Amalfi Lemon, Carnation, Patchouli, Sandalwood, Orris, tincture of rose, Virginia Cedar, Cinnamon, Orange Blossom, Leather, Castoreum, oak moss, Amber, Musk, Vanilla"
Les Exclusifs de  Bel Respiro Chanel Chanel,"Green Notes, Grass, Leather, Flowers"
Eau de Fleurs de Cedrat  Guerlain,"Lemon, Bergamot, Citron"
Lily of the Valley  Yardley,"Lily-of-the-Valley, Green Notes, Jasmine, Gardenia, Geranium, Magnolia"
Lysval  Girard,"Jasmine, tincture of rose, Ylang-Ylang, African Orange flower, iris, Sandalwood, Benzoin, Orris, Water Hyacinth, Freesia, Lily-of-the-Valley"
Novaya Zarya  Nouvelle Etoile – Новая Заря,"Orange Blossom, Lilac, Aldehydes, Jasmine, Neroli, Ylang-Ylang, Vetiver, Benzoin, Musk"
Sweet Pea Душистый горошек  Nouvelle Etoile – Новая Заря,"Aldehydes, Lily-of-the-Valley, Lilac, Green Notes, Rose, Violet, Musk, Amber"
Eau perlee  Jardin de France,"Mandarin Orange, Petitgrain, Violet, Amalfi Lemon, Jasmine, Woodsy Notes, African Orange flower, Caramel, Musk, Patchouli"
Eau de Cologne L'Originale  Mont St Michel,"Bergamot, Bitter Orange, Rose, Jasmine, Sandalwood, Amber"
Eau givree  Jardin de France,"Amalfi Lemon, Bergamot, Sea water, Lavender, Sandalwood, Patchouli, Virginia Cedar"
Eau nacree  Jardin de France,"Water Notes, Galbanum, Lily, Jasmine, Tuberose, Rose, Cyclamen, Pepper, Virginia Cedar, Vanilla"
Eau irisee  Jardin de France,"Cypress, Pine Tree, Jasmine, Sea water, Woodsy Notes, Amber, Musk, Sand"
Eau epicee  Jardin de France,"Ginger, Orange, Amalfi Lemon, Star Anise, Nutmeg, Cardamom, Jasmine, Musk, Vanilla"
Eau boisee  Jardin de France,"Virginia Cedar, Tea, Amalfi Lemon, Rose, Jasmine, Artemisia, Ginger, Musk"
Lavande  Mury Paris,Lavender
Heliotrope  Mury Paris,Heliotrope
Cuir de Russie  Mury Paris,Leather
No 5 Parfum Chanel Chanel,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Lemon, iris, Jasmine, Rose, Orris Root, Lily-of-the-Valley, Civet, Amber, Sandalwood, Musk, Moss, Vetiver, Vanilla, Patchouli"
No 5 Eau de Toilette Chanel Chanel,"Aldehydes, Ylang-Ylang, Neroli, Amalfi Lemon, Bergamot, iris, Jasmine, Rose, Orris Root, Lily-of-the-Valley, Civetta, Sandalwood, Musk, oak moss, Vetiver, Amber, Vanille, Patchouli"
Habanita  Molinard,"Raspberry, Peach, Orange Blossom, Bergamot, Heliotrope, Orris Root, Ylang-Ylang, Rose, Lilac, Jasmine, Leather, Benzoin, Vanilla, Amber, Oakmoss, Musk, Cedar"
Emeraude  Coty,"Bergamot, Lemon, Orange, Brazilian Rosewood, Ylang-Ylang, Jasmine, Rose, Opoponax, Benzoin, Vanilla, Amber, Sandalwood, Patchouli"
Maja  Myrurgia,"Geranium, Citruses, Tobacco, Orange Blossom, Carnation, Cloves, Nutmeg, Rose, Lavender, Leather, Jasmine, Patchouli, Cypress, Tonka Bean, Amber, Benzoin, Oakmoss"
No 5 Eau de Cologne Chanel Chanel,"Aldehydes, Ylang-Ylang, African Orange flower, Bergamot, Amalfi Lemon, iris, Jasmine, Rose, Orris Root, Lily-of-the-Valley, Civetta, Musk, Amber, Vetiver, Sandalwood, oak moss, Patchouli, Vanille"
N°5 (Vintage) Chanel Chanel,"Aldehydes, Ylang-Ylang, Neroli, Lemon, Bergamot, Rose, iris, Jasmine, Orris Root, Lily-of-the-Valley, Civet, Sandalwood, Amber, Musk, Vanilla, Oakmoss, Patchouli, Vetiver"
Tosca Tosca,"Aldehydes, Bergamot, Orange, Neroli, Amalfi Lemon, Ylang-Ylang, Narcissus, Jasmine, Rose, Lily-of-the-Valley, French labdanum, Amber, Vanilla, Patchouli"
Emeraude Parfum  Coty,"Orange, Bergamot, Lemon, Jasmine, Ylang-Ylang, Brazilian Rosewood, Rose, Opoponax, Benzoin, Amber, Sandalwood, Patchouli, Vanilla"
Guerlinade  Guerlain,"Lilac, Bergamot, Lime (Linden) Blossom, Orris, Jasmine, Rose, Tonka Bean, Vanilla"
Crown Spiced Limes  The Crown Perfumery Co.,"Lime, Lemon, Clary Sage, Basil, Coriander, Oakmoss, Vetiver"
N°22 Chanel Chanel,"Aldehydes, Neroli, Lily, Tuberose, Lily-of-the-Valley, Orange Blossom, Ylang-Ylang, Jasmine, White Rose, Nutmeg, iris, Vanilla, Vetiver"
Les Exclusifs de  No 22 Chanel Chanel,"Aldehydes, Neroli, Lily-of-the-Valley, Ylang-Ylang, Jasmine, Rose, Tuberose, Vanille, vetyver"
Nuit de Noel  Caron,"Ylang-Ylang, tincture of rose, Jasmine, oak moss, Sandalwood, Amber, Musk"
Nuit de Noel Extrait de Parfum  Caron,"Ylang-Ylang, Rose, Jasmine, Oakmoss, Sandalwood, Amber, Musk"
Bouquet de Faunes  Guerlain,"Suede, Jasmine, Neroli, Amber, Carnation, Jasmine, iris, Marjoram, Rose, Ylang-Ylang, Lavender, Violet, Geranium, Neroli, Brazilian Rosewood, Civetta, Castoreum, Leather, Musk, Amber, Tobacco, Vetiver, Tonka Bean, Patchouli, Costus, Vanilla"
Candide Effluve  Guerlain,"Ylang-Ylang, Jasmine, Benzoin, Heliotrope, Vanille, Orris Root, Lilac, Angelica, Tonka Bean, Amalfi Lemon, Amber, Vetiver, Bergamot, Patchouli"
L'Orgie (Orgia)  Myrurgia,"Aldehydes, Citruses, Floral Notes, Lily-of-the-Valley, Rose, Musk, Oakmoss, Tonka Bean, Woody Notes, Vanilla"
Sparkling Diamond 22  Krigler,"Champagne, Big Strawberry, Coconut, Musk"
Padisha  Weil,"Neroli, Bergamot, Spicy Notes, Lavender, Carnation, Orange Blossom, Patchouli, Amber, Vanilla, Sandalwood"
Safranor  L.T. Piver,"Saffron, Spicy Notes"
Bain de Champagne (Royal Bain de ) Caron Caron,"Lilac, Rose, Opoponax, Benzoin, Incense, Vanilla, Amber, Sandalwood, Musk, Cedar"
Felce Azzurra  Paglieri,Musk
Narcisse Blanc  Caron,"Orange Blossom, Neroli, Orange, Petitgrain, Jasmine, tincture of rose, Lime, iris, Musk, Sandalwood, vetyver, Amber"
Narcisse Blanc Parfum  Caron,"Neroli, Orange Blossom, Orange, Petitgrain, Jasmine, Rose, Lime, iris, Musk, Amber, Sandalwood"
Paris  Coty,"Lilac, Heliotrope, Civet, Aldehydes, Hyacinth, Musk, Ylang-Ylang, Bulgarian Rose, Carnation, Vanilla"
Le Jade  Roger & Gallet,"Lime, Bergamot, Ambergris, Civet, Sandalwood, Vetiver, Tonka Bean, Musk, Patchouli, Vanilla"
Les Exclusifs de  Cuir de Russie 1924 Chanel Chanel,"Clary Sage, Orange Blossom, Bergamot, Lemon, Mandarin Orange, iris, Ylang-Ylang, Vetiver, Carnation, Jasmine, Rose, Cedar, Leather, Birch, Tobacco, Musk, Amber, Heliotrope, Vanilla"
Cuir de Russie Parfum  Chanel,"Aldehydes, Russian Leather, Tobacco, Ylang-Ylang, Jasmine, Rose, Vanilla"
Jeanne  My Sin Lanvin Lanvin,"Aldehydes, Neroli, Clary Sage, Bergamot, Amalfi Lemon, Jasmine, Orris Root, Narcissus, Ylang-Ylang, Rose, Clove, Lilac, Lily-of-the-Valley, Civetta, Musk, Styrax, Woodsy Notes, Tolu Balsam, vetyver, Vanille"
Dans la Nuit  Worth,"Aldehydes, Violet, Green Notes, Bergamot, Lemon, Carnation, Rose, Orris Root, Ylang-Ylang, Jasmine, Lily-of-the-Valley, Cinnamon, Sandalwood, Civet, Amber, Musk, Tonka Bean, Vanilla, Vetiver"
Acaciosa  Caron,"Jasmine, Orange Blossom, Ylang-Ylang, Rose, Lily-of-the-Valley, Jasmine, Orange Blossom, Sandalwood, Pineapple, Amber, Vanilla, Musk"
Panama  Panama 1924,"Lavender, Mandarin Orange, Lemon, Mint, Chinese Cinnamon Wood, Rose, Red Thyme, Cumin, Coriander, Sandalwood"
Acaciosa Parfum  Caron,"Jasmine, Rose, Orange Blossom, Ylang-Ylang, Lily-of-the-Valley, Jasmine, Pineapple, Sandalwood, Amber, Musk, Vanilla"
Panama Millesime  Panama 1924,"Saffron, Rum, Rhuburb, Tea, Amalfi Lemon, Cardamom, Coriander, Jasmine, Cinnamon, Vetiver, Virginia Cedar, Ambrette (Musk Mallow), Musk"
Blue Escapade 24  Krigler,"Fig, Vetiver, Grapefruit, Pepper, Cedar, Orange, Ylang-Ylang"
Gardenia Isabey Isabey,Gardenia
For Her Narciso Rodriguez Narciso Rodriguez,"African Orange flower, Osmanthus, Bergamot, Musk, Amber, Vetiver, Vanille, Patchouli"
Individuel  Montblanc,"Cinnamon, Lavender, Pineapple, Juniper Berries, Mint, Bergamot, Rosemary, Coriander, Cardamom, Orange Blossom, Violet, Geranium, Jasmine, Raspberry, Vanilla, Sandalwood, Dark Chocolate, Musk, Amber, Patchouli, Vetiver, Oakmoss"
Amor Amor  Cacharel,"Black Currant, Orange, Mandarin Orange, Grapefruit, Cassia, Bergamot, Rose, Apricot, Jasmine, Lily, Lily-of-the-Valley, Vanilla, Tonka Bean, Musk, Amber, Virginia Cedar"
Un Bois Vanille  Serge Lutens,"Vanila, Coconut Milk, Black Licorice, Beeswax, Sandalwood, Tonka Bean, Bitter Almond, Guaiac Wood, Benzoin, Musk"
Chance Eau de Toilette  Chanel,"Patchouli, Pink Pepper, Pineapple, Hiacynth, iris, Lemon, Jasmine, Rose, Patchouli, Musk, Vetiver, Vanilla"
Lacoste Pour Femme  Lacoste Fragrances,"Pepper, Freesia, Apple, Heliotrope, Violet, Jasmine, Hibiscus, Rose, Suede, Sandalwood, Incense, Cedar, Labdanum"
Crystal Noir  Versace,"Pepper, Ginger, Cardamom, Coconut, Gardenia, Orange Blossom, Peony, Sandalwood, Musk, Amber"
Pure Poison  Christian Dior,"Jasmine, Orange, Bergamot, Sicilian Mandarin, Gardenia, Orange Blossom, Sandalwood, White Amber, Cedar, White Musk"
Pink Sugar  Aquolina,"Raspberry, Orange, Bergamot, Fig Leaf, Cotton Candy, Licorice, Red Berries, Strawberry, Lily-of-the-Valley, Caramel, Vanilla, Musk, Tonka Bean, Sandalwood"
Allure Homme Sport  Chanel,"Orange, Sea Notes, Aldehydes, Blood Mandarin, Pepper, Neroli, Cedar, Tonka Bean, Vanilla, White Musk, Amber, Vetiver, Elemi resin"
Armani Code  Giorgio Armani,"Lemon, Bergamot, Star Anise, Olive Blossom, Guaiac Wood, Leather, Tonka Bean, Tobacco"
DKNY Be Delicious  Donna Karan,"Cucumber, Grapefruit, Magnolia, Green Apple, Lily-of-the-Valley, Tuberose, Violet, Rose, Woodsy Notes, Sandalwood, Amber"
Cheap & Chic I Love Love  Moschino,"Grapefruit, Orange, Lemon, Red Currant, Sugar Cane, Bulrush, Lily-of-the-Valley, Tea Rose, Cinnamon, Musk, Cedar, Woody Notes"
Cinéma  Yves Saint Laurent,"Almond Blossom, Clementine, Cyclamen, Jasmine, Peony, Amaryllis, Vanilla, Amber, Benzoin, White Musk"
Eau des Merveilles  Hermès,"Orange, Elemi resin, Lemon, Amber, Pepper, Pink Pepper, Violet, Fir, Cedar, Madagascar Vetiver, Oakmoss"
Hermessence Ambre Narguile  Hermès,"Cinnamon, Honey, Rum, Caramel, Tonka Bean, Vanilla, Benzoin, Coumarin, Labdanum, Sesame, White Orchid, Tobacco, Musk"
212 Sexy  Carolina Herrera,"Pink Pepper, Mandarin Orange, Bergamot, Cotton Candy, Gardenia, Flowers, Pelargonium, Rose, Vanilla, Musk, Sandalwood, Caramel, Patchouli, Violet"
Timbuktu  L'Artisan Parfumeur,"Mango, Pink Pepper, Cardamom, Incense, Papyrus, Karo Karounde, Vetiver, Myrhh, Patchouli, Benzoin"
Today  Avon,"Freesia, Cactus, Stephanotis, Tuberose, Orange Blossom, Hibiscus, Strelitzia, Buddleia, Musk, Water Notes, Woody Notes, Cedar, Rose"
Eau de Parfum II Gucci Gucci,"Black Currant, Red Berries, Cassia, Bitter Orange, Mandarin Orange, Blackberry, Peony, Violet, Freesia, Jasmine, Lily-of-the-Valley, Cedar, Musk, Heliotrope"
Curious  Britney Spears,"Magnolia, Pear, Lotus, Jasmine, Tuberose, Cyclamen, Musk, Vanilla, White Woods, Sandalwood"
(Amber) Prada Prada,"Tarragon, Bergamot, Green Notes, Fruity Notes, Honey, Carnation, Ylang-Ylang, Jasmine, Rose, Patchouli, Amber, Benzoin, Sandalwood, Vanilla, Oakmoss, Musk"
L'Eau Bleue d'Issey Pour Homme  Issey Miyake,"Rosemary, Lime, Orangewood, Mandarin Orange, Lemongrass, Cypress, Juniper Berries, Ginger, Lavender, Pink Pepper, May Rose, Star Anise, Nasturtium, Atlas Cedar, Patchouli, Oakmoss, Sandalwood, Amber, Ambrette (Musk Mallow)"
Original Vetiver  Creed,"Bergamot, Ginger, Mandarin Orange, Haitian Vetiver, Sandalwood, iris, Musk, Ambergris"
John Varvatos John Varvatos,"Leather, Amber, Tamarind, Dates, Vanilla, Balsam Fir, Herbal Notes, Caramel, Hay, Olibanum, Agarwood (Oud), Styrax"
L'Instant de  pour Homme Guerlain Guerlain,"Lemon, Bergamot, Anise, Grapefruit, Jasmine, Cacao, Patchouli, Sandalwood, Tea, Cedar, Lavender, Natural Musk, Hibiscus Seed, Elemi resin"
Brit for Men Burberry Burberry,"Ginger, Cardamom, Green Mandarin, Bergamot, Wild Rose, Nutmeg, Cedar, Spicy Notes, Tonka Bean, Cedar, Gray Musk, Oriental Woodsy notes, Patchouli"
Envy Me  Gucci,"Peony, Pink Pepper, Pineapple, Jasmine, Mango, Peach, Cassia, Peony, Litchi, Rose, Pomegranate, Musk, White Tea, Jasmine, Musk, Tobacco, Teak Wood, Sandalwood, Tonka Bean"
Bois d'Argent  Christian Dior,"iris, Cypress, Juniper Berries, Myrhh, Patchouli, Woodsy Notes, Honey, Vanilla, resins, Amber, Musk, Leather"
2 Man Comme des Garcons Comme des Garcons,"Aldehydes, Nutmeg, Caraway, Kumquat, Mint, Vetiver, Saffron, iris, Incense, Mahogany, Leather"
Hermessence Vetiver Tonka  Hermès,"vetyver, Tonka Bean, Hazelnut, Tobacco, Praline, Caramel, Sandalwood, Lily-of-the-Valley"
Original Musk  Kiehl's,"Orange Blossom, Bergamot, Ylang-Ylang, Lily, Neroli, Rose, Musk, Tonka Bean, Patchouli"
Daim Blond  Serge Lutens,"Suede, Apricot, iris, Musk, Heliotrope, Cardamon, Hawthorn, Daim"
Armani Mania  Giorgio Armani,"Pink Pepper, Bay Leaf, Orange, Green Mandarin, Black Currant, Magnolia, Peony, iris, Lily-of-the-Valley, Vanilla, White Sandalwood, Amber, Musk, Virginia Cedar"
Bogart Pour Homme  Jacques Bogart,"Lavender, Bergamot, Orange Blossom, Rose, Lily-of-the-Valley, Tonka Bean, Patchouli, Cedar, Oakmoss, Musk"
Vetiver Oriental  Serge Lutens,"Vetiver, Dark Chocolate, Amber, Oakmoss, Guaiac Wood, iris, Sandalwood, Labdanum, Musk"
Fantomas  Nasomatto,"Melon, Plastic, Rubber, gunpowder, Smoke, Sweet Notes, Earthy Notes, Tropical fruit, Caramel, Cashmeran, Patchouli"
Coco Teenage Girl  Disney,"Raspberry, Bitter Orange, Neroli, Jasmine, Orange Blossom, Honey, Patchouli"
Porpora  Tiziana Terenzi,"Rose, Raspberry, Cloves, Cinnamon, Bulgarian Rose, Incense, Patchouli, Poppy, Myrrh, Musk, Amber, Benzoin, Chestnut"
Remarkable People  Etat Libre d'Orange,"Grapefruit, Champagne, Cardamom, Curry Tree, Black Pepper, Jasmine, Sandalwood, Lorenox, Labdanum"
Vanilla Dry  1907,"Ylang-Ylang, Mandarin Orange, Orange, Tiare Flower, Jasmine, Lily-of-the-Valley, Vanilla, Sandalwood, White Musk, Coconut"
Kim Kardashian Kim Kardashian,"Honeysuckle, African Orange flower, Mandarin Orange, Gardenia, Tuberose, Jasmine, Spices, Tonka Bean, Musk, Sandalwood, Orchid, Woodsy Notes"
Fantasy Intense  Britney Spears,"Kiwi, Litchi, Pear, White Chocolate, Cupcake, Jasmine, Orchid, Patchouli, Musk, Orris, Woodsy Notes"
Ocean  Demeter Fragrance,"Sea water, Salt, Sand"
Cortigiana  Il Profvmo,"Cherry, Wildflowers, Vanilla, Almond, Herbal Notes, iris"
Blue Seduction  Antonio Banderas,"Melon, Bergamot, Pear, Violet Leaf, Peony, Jasmine, Lily-of-the-Valley, Gardenia, Bulgarian Rose, Raspberry, Patchouli, Musk, Benzoin"
Love  Chloé,"Pink Pepper, African Orange flower, iris, Lilac, Hyacinth, Heliotrope, Wisteria, Powdery Notes, Rice, Musk"
Pardon  Nasomatto,"Magnolia, Flowers, Dark Chocolate, Tonka Bean, Cinnamon, Agarwood (Oud), Sandalwood"
Warm Black  Zara,"Ginger, Vanilla, Tonka Bean"
Love & Crime  Ex Idolo,"Blood Mandarin, Pink Pepper, Sugar, Star Anise, Floral Notes, Vanilla, Cacao"
Alien  Mugler,"Jasmine, Woodsy Notes, Amber"
Flowerbomb  Viktor&Rolf,"Tea, Bergamot, Osmanthus, Orchid, Jasmine, Rose, Freesia, African Orange flower, Patchouli, Musk"
Euphoria  Calvin Klein,"Pomegranate, Raspberry, Passionfruit, Persimmon, Peach, Green Notes, Orchid, Lotus, Champaca, Mahogany, Amber, Musk, Violet, Patchouli, Vanilla"
Un Jardin Sur Le Nil  Hermès,"Grapefruit, Green Mango, Tomato, Carrot, Bulrush, Lotus, Orange, Hiacynth, Peony, Musk, iris, Incense, Labdanum, Cinnamon"
02 L'Air du Desert Marocain  Tauer Perfumes,"Coriander, Petitgrain, Cumin, Lavender, Labdanum, Jasmine, Birch, Geranium, Amber, Cedar, Vetiver, Patchouli, Oakmoss"
Hypnôse  Lancome,"Passion Flower, Jasmine, Gardenia, Vanille, Vetiver"
Carnal Flower  Frederic Malle,"Tuberose, Eucalyptus, Jasmine, Coconut, Orange Blossom, Ylang-Ylang, Melon, White Musk, Bergamot"
Le Parfum Lalique Lalique,"West Indian Bay, Pink Pepper, Bergamot, Heliotrope, Almond, Jasmine, Vanilla, Tonka Bean, Sandalwood, Patchouli"
Omnia Crystalline  Bvlgari,"Bamboo, Pear, Lotus, Tea, Cassia, Musk, Guaiac Wood, Oakmoss"
Lovely  Sarah Jessica Parker,"Lavender, Martini, Bergamot, Mandarin Orange, Palisander Rosewood, Patchouli, Orchid, Narcissus, Musk, Woodsy Notes, Cedar, White Amber"
Chance Eau de Parfum  Chanel,"Pink Pepper, Jasmine, iris, Patchouli, Musk, Vanilla"
Aqva Pour Homme  Bvlgari,"Mandarin Orange, Orange, Petitgrain, Seaweed, Lavender, Cotton Flower, Virginia Cedar, Woodsy Notes, Patchouli, Clary Sage, Amber"
Pour Homme Versace Versace,"Lemon, Neroli, Bergamot, Rose de Mai, Hyacinth, Cedar, Clary Sage, Geranium, Tonka Bean, Musk, Amber"
Chloe Eau de Parfum  Chloé,"Peony, Litchi, Freesia, Rose, Lily-of-the-Valley, Magnolia, Virginia Cedar, Amber"
1 Million  Paco Rabanne,"Blood Mandarin, Grapefruit, Mint, Cinnamon, Rose, Spicy Notes, Amber, Leather, Woody Notes, Indian Patchouli"
The One for Men  Dolce&Gabbana,"Grapefruit, Coriander, Basil, Ginger, Cardamom, Orange Blossom, Amber, Tobacco, Cedar"
Jubilation XXV Man  Amouage,"Blackberry, Olibanum, Orange, Labdanum, Coriander, Tarragon, Honey, Guaiac Wood, Cinnamon, Bay Leaf, Clove, Rose, Orchid, Celery Seeds, Opoponax, Agarwood (Oud), Myrrh, Patchouli, Cedar, Ambergris, Immortelle, Musk, Oakmoss"
Viva la Juicy  Juicy Couture,"Mandarin Orange, Wild berries, Honeysuckle, Gardenia, Jasmine, Caramel, Vanilla, Praline, Amber, Sandalwood"
Gypsy Water  Byredo,"Juniper, Lemon, Bergamot, Pepper, Pine needles, Incense, Orris Root, Sandalwood, Vanilla, Amber"
Allure Homme Edition Blanche  Chanel,"Sicilian Lemon, Madagascar Vanilla, Pink Pepper, Calabrian bergamot, Sandalwood, Tonka Bean, Tahitian Vetiver, Musk, Amber, Cedar"
Fancy  Jessica Simpson,"Pear, Apricot, Red Berries, Caramel, Almond, Gardenia, Jasmine, Vanilla, Amber, Sandalwood"
